filename,iati-activity/iati-identifier[1],iati-activity/sector,iati-activity/sector@code,iati-activity/sector@percentage,iati-activity/sector@vocabulary,iati-activity/sector@vocabulary-uri,iati-activity/sector/narrative[1]
drc-activities,DK-CVR-20699310-DK191790,,72050,100,1,,
drc-activities,DK-CVR-20699310-DK19479,,15250,18,1,,
drc-activities,DK-CVR-20699310-DK19479,,11110,26,1,,
drc-activities,DK-CVR-20699310-DK19479,,16020,23,1,,
drc-activities,DK-CVR-20699310-DK19479,,15160,33,1,,
drc-activities,DK-CVR-20699310-DK201680,,73010,20,1,,
drc-activities,DK-CVR-20699310-DK201680,,15160,20,1,,
drc-activities,DK-CVR-20699310-DK201680,,72010,60,1,,
drc-activities,DK-CVR-20699310-DK201681,,73010,20,1,,
drc-activities,DK-CVR-20699310-DK201681,,15160,20,1,,
drc-activities,DK-CVR-20699310-DK201681,,72010,60,1,,
drc-activities,DK-CVR-20699310-DK201683,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201685,,72010,5,1,,
drc-activities,DK-CVR-20699310-DK201685,,15160,95,1,,
drc-activities,DK-CVR-20699310-DK201687,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201688,,16020,30,1,,
drc-activities,DK-CVR-20699310-DK201688,,74010,10,1,,
drc-activities,DK-CVR-20699310-DK201688,,15160,60,1,,
drc-activities,DK-CVR-20699310-DK201689,,43071,50,1,,
drc-activities,DK-CVR-20699310-DK201689,,74010,50,1,,
drc-activities,DK-CVR-20699310-DK201690,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK1940,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK201692,,72010,50,1,,
drc-activities,DK-CVR-20699310-DK201692,,15160,50,1,,
drc-activities,DK-CVR-20699310-DK19972,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK201686,,72010,50,1,,
drc-activities,DK-CVR-20699310-DK201686,,15160,50,1,,
drc-activities,DK-CVR-20699310-DU252394,,15250,100,1,,
drc-activities,DK-CVR-20699310-DU252398,,15250,100,1,,
drc-activities,DK-CVR-20699310-DU252397,,15250,100,1,,
drc-activities,DK-CVR-20699310-DU252399,,15250,100,1,,
drc-activities,DK-CVR-20699310-DK201695,,11110,14,1,,
drc-activities,DK-CVR-20699310-DK201695,,16020,45,1,,
drc-activities,DK-CVR-20699310-DK201695,,15160,41,1,,
drc-activities,DK-CVR-20699310-DK201693,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201698,,72010,36,1,,
drc-activities,DK-CVR-20699310-DK201698,,72010,11,1,,
drc-activities,DK-CVR-20699310-DK201698,,16020,35,1,,
drc-activities,DK-CVR-20699310-DK201698,,15160,18,1,,
drc-activities,DK-CVR-20699310-DK201699,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201700,,15250,43,1,,
drc-activities,DK-CVR-20699310-DK201700,,15160,50,1,,
drc-activities,DK-CVR-20699310-DK201700,,14020,7,1,,
drc-activities,DK-CVR-20699310-DK201701,,15250,28,1,,
drc-activities,DK-CVR-20699310-DK201701,,16020,34,1,,
drc-activities,DK-CVR-20699310-DK201701,,15160,38,1,,
drc-activities,DK-CVR-20699310-DK201711,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201716,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201717,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201719,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201704,,72010,30,1,,
drc-activities,DK-CVR-20699310-DK201704,,16020,30,1,,
drc-activities,DK-CVR-20699310-DK201704,,15160,40,1,,
drc-activities,DK-CVR-20699310-DK201708,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201720,,16020,100,1,,
drc-activities,DK-CVR-20699310-DK201718,,16020,100,1,,
drc-activities,DK-CVR-20699310-DF212759,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK202628,,15160,33.33,1,,
drc-activities,DK-CVR-20699310-DK202628,,72010,33.33,1,,
drc-activities,DK-CVR-20699310-DK202628,,72050,33.33,1,,
drc-activities,DK-CVR-20699310-DK202691,,43010,100,1,,
drc-activities,DK-CVR-20699310-DK201710,,72010,17,1,,
drc-activities,DK-CVR-20699310-DK201710,,43071,24,1,,
drc-activities,DK-CVR-20699310-DK201710,,16020,33,1,,
drc-activities,DK-CVR-20699310-DK201710,,15160,26,1,,
drc-activities,DK-CVR-20699310-DK201707,,72050,100,1,,
drc-activities,DK-CVR-20699310-DK201702,,15160,50,1,,
drc-activities,DK-CVR-20699310-DK201702,,72010,50,1,,
drc-activities,DK-CVR-20699310-DK201706,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK1926,,72010,50,1,,
drc-activities,DK-CVR-20699310-DK1926,,15160,50,1,,
drc-activities,DK-CVR-20699310-DK201691,,15160,25,1,,
drc-activities,DK-CVR-20699310-DK201691,,73010,25,1,,
drc-activities,DK-CVR-20699310-DK201691,,72010,50,1,,
drc-activities,DK-CVR-20699310-DK201832,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201684,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201712,,72010,15,1,,
drc-activities,DK-CVR-20699310-DK201712,,16020,60,1,,
drc-activities,DK-CVR-20699310-DK201712,,15160,25,1,,
drc-activities,DK-CVR-20699310-DK201715,,15160,100,1,,
drc-activities,DK-CVR-20699310-DK201709,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK201705,,72010,100,1,,
drc-activities,DK-CVR-20699310-DK201696,,15250,10,1,,
drc-activities,DK-CVR-20699310-DK201696,,72010,45,1,,
drc-activities,DK-CVR-20699310-DK201696,,15160,45,1,,
